#x, y, size, angle, response, octave, class_id
91.200005, 69.600006, 37.200001, 251.700531, 0.013618, 1, -1
93.600006, 70.800003, 37.200001, 273.434723, 0.012631, 1, -1
99.600006, 73.200005, 37.200001, 325.633850, 0.013492, 1, -1
103.200005, 74.400002, 37.200001, 344.711578, 0.009565, 1, -1
15.600000, 79.200005, 37.200001, 220.499695, 0.007145, 1, -1
99.600006, 79.200005, 37.200001, 14.486501, 0.014148, 1, -1
96.000000, 82.800003, 37.200001, 63.806461, 0.011470, 1, -1
18.000000, 84.000000, 37.200001, 201.953705, 0.008184, 1, -1
22.800001, 84.000000, 37.200001, 234.967865, 0.013902, 1, -1
94.800003, 85.200005, 37.200001, 77.060158, 0.013705, 1, -1
27.600000, 88.800003, 37.200001, 224.946487, 0.012870, 1, -1
91.200005, 88.800003, 37.200001, 101.971664, 0.014896, 1, -1
87.600006, 92.400002, 37.200001, 86.792068, 0.013457, 1, -1
28.800001, 93.600006, 37.200001, 129.667053, 0.003792, 1, -1
32.400002, 93.600006, 37.200001, 141.085114, 0.013367, 1, -1
37.200001, 97.200005, 37.200001, 175.667267, 0.013802, 1, -1
82.800003, 97.200005, 37.200001, 90.961609, 0.012527, 1, -1
79.200005, 98.400002, 37.200001, 139.968567, 0.012476, 1, -1
42.000000, 99.600006, 37.200001, 77.657143, 0.010466, 1, -1
48.000000, 102.000008, 37.200001, 2.957546, 0.009162, 1, -1
74.400002, 102.000008, 37.200001, 51.688091, 0.009117, 1, -1
52.800003, 105.600006, 37.200001, 58.840668, 0.011750, 1, -1
67.200005, 105.600006, 37.200001, 40.441940, 0.009722, 1, -1
63.600002, 108.000008, 37.200001, 49.693783, 0.012299, 1, -1
57.600002, 109.200005, 37.200001, 72.478928, 0.013250, 1, -1
84.960007, 11.520000, 44.640003, 53.827133, 0.002945, 2, -1
60.480003, 12.960001, 44.640003, 143.569946, 0.004026, 2, -1
90.720001, 14.400001, 44.640003, 32.316517, 0.004745, 2, -1
93.600006, 15.840000, 44.640003, 16.711227, 0.004437, 2, -1
56.160004, 17.280001, 44.640003, 180.150696, 0.005147, 2, -1
99.360001, 20.160000, 44.640003, 16.919590, 0.003337, 2, -1
51.840004, 21.600000, 44.640003, 263.896698, 0.005061, 2, -1
50.400002, 24.480001, 44.640003, 257.151031, 0.004984, 2, -1
105.120003, 24.480001, 44.640003, 35.852020, 0.004787, 2, -1
46.080002, 28.800001, 44.640003, 216.726898, 0.005572, 2, -1
110.880005, 28.800001, 44.640003, 38.035042, 0.004890, 2, -1
41.760002, 34.560001, 44.640003, 180.116318, 0.006777, 2, -1
116.640007, 34.560001, 44.640003, 44.545094, 0.003580, 2, -1
46.080002, 36.000000, 44.640003, 174.799500, 0.003963, 2, -1
40.320000, 38.880001, 44.640003, 164.654282, 0.005217, 2, -1
48.960003, 44.640003, 44.640003, 120.028931, 0.005246, 2, -1
53.280003, 46.080002, 44.640003, 83.369026, 0.005479, 2, -1
59.040001, 50.400002, 44.640003, 205.938034, 0.005153, 2, -1
66.240005, 54.720001, 44.640003, 317.420715, 0.004862, 2, -1
70.560005, 57.600002, 44.640003, 125.244904, 0.003724, 2, -1
76.320000, 60.480003, 44.640003, 298.175964, 0.004345, 2, -1
82.080002, 64.800003, 44.640003, 191.854416, 0.005234, 2, -1
86.400002, 67.680000, 44.640003, 234.779327, 0.003863, 2, -1
90.720001, 70.560005, 44.640003, 272.035797, 0.004213, 2, -1
93.600006, 70.560005, 44.640003, 298.150146, 0.005544, 2, -1
102.240005, 74.880005, 44.640003, 347.645721, 0.007859, 2, -1
15.840000, 79.200005, 44.640003, 220.702484, 0.002948, 2, -1
99.360001, 79.200005, 44.640003, 11.447578, 0.006164, 2, -1
17.280001, 83.520004, 44.640003, 203.378326, 0.003107, 2, -1
23.040001, 83.520004, 44.640003, 231.192795, 0.005323, 2, -1
95.040001, 84.960007, 44.640003, 51.288967, 0.003274, 2, -1
27.360001, 89.280006, 44.640003, 204.220154, 0.004805, 2, -1
92.160004, 89.280006, 44.640003, 82.491730, 0.004611, 2, -1
31.680000, 92.160004, 44.640003, 169.385391, 0.004184, 2, -1
87.840004, 92.160004, 44.640003, 108.341820, 0.005165, 2, -1
38.880001, 96.480003, 44.640003, 267.220032, 0.004979, 2, -1
41.760002, 97.920006, 44.640003, 263.216370, 0.003186, 2, -1
79.200005, 97.920006, 44.640003, 133.116119, 0.005606, 2, -1
47.520000, 102.240005, 44.640003, 80.016853, 0.002959, 2, -1
74.880005, 102.240005, 44.640003, 56.021446, 0.003695, 2, -1
51.840004, 105.120003, 44.640003, 73.154327, 0.004472, 2, -1
67.680000, 106.560005, 44.640003, 47.432354, 0.003790, 2, -1
61.920002, 108.000008, 44.640003, 64.229095, 0.005917, 2, -1
57.600002, 109.440002, 44.640003, 69.023056, 0.005699, 2, -1
62.208008, 12.096001, 53.568005, 131.580551, 0.001233, 3, -1
86.400009, 12.096001, 53.568005, 51.415195, 0.000217, 3, -1
89.856010, 13.824001, 53.568005, 49.996067, 0.000726, 3, -1
55.296005, 17.280003, 53.568005, 169.211700, 0.001205, 3, -1
95.040009, 17.280003, 53.568005, 33.046894, 0.000619, 3, -1
50.112003, 24.192001, 53.568005, 234.023361, 0.001011, 3, -1
105.408012, 24.192001, 53.568005, 30.315266, 0.000800, 3, -1
110.592010, 27.648003, 53.568005, 31.622246, 0.000862, 3, -1
41.472004, 34.560005, 53.568005, 184.146469, 0.002932, 3, -1
115.776009, 34.560005, 53.568005, 45.554054, 0.000962, 3, -1
46.656006, 36.288002, 53.568005, 170.053650, 0.002249, 3, -1
41.472004, 38.016003, 53.568005, 168.464157, 0.002999, 3, -1
48.384003, 43.200005, 53.568005, 141.114380, 0.001376, 3, -1
53.568005, 46.656006, 53.568005, 106.509064, 0.001657, 3, -1
58.752007, 50.112003, 53.568005, 65.283531, 0.001485, 3, -1
65.664009, 53.568005, 53.568005, 286.833740, 0.000725, 3, -1
74.304008, 60.480007, 53.568005, 134.597809, 0.000909, 3, -1
86.400009, 67.392006, 53.568005, 260.713135, 0.000584, 3, -1
89.856010, 69.120010, 53.568005, 289.054718, 0.000993, 3, -1
93.312012, 70.848007, 53.568005, 317.975830, 0.000955, 3, -1
101.952011, 74.304008, 53.568005, 345.055145, 0.002465, 3, -1
15.552002, 79.488007, 53.568005, 218.038071, 0.001324, 3, -1
98.496010, 81.216011, 53.568005, 14.270811, 0.001326, 3, -1
22.464003, 82.944008, 53.568005, 226.715103, 0.001816, 3, -1
95.040009, 84.672005, 53.568005, 44.164047, 0.000713, 3, -1
27.648003, 89.856010, 53.568005, 203.797928, 0.001973, 3, -1
88.128006, 91.584007, 53.568005, 95.954498, 0.001279, 3, -1
38.016003, 96.768005, 53.568005, 145.542923, 0.001901, 3, -1
81.216011, 96.768005, 53.568005, 103.708595, 0.001689, 3, -1
46.656006, 101.952011, 53.568005, 73.577980, 0.000505, 3, -1
74.304008, 101.952011, 53.568005, 41.829639, 0.001713, 3, -1
50.112003, 103.680008, 53.568005, 69.523163, 0.000937, 3, -1
57.024006, 103.680008, 53.568005, 54.175884, 0.001412, 3, -1
67.392006, 105.408012, 53.568005, 51.223019, 0.001500, 3, -1
57.024006, 108.864014, 53.568005, 77.089020, 0.001515, 3, -1
93.312012, 16.588802, 64.281609, 50.784454, -0.000062, 4, -1
97.459213, 18.662403, 64.281609, 44.257675, -0.000030, 4, -1
101.606415, 20.736004, 64.281609, 27.868473, -0.000034, 4, -1
47.692806, 24.883204, 64.281609, 211.094772, 0.000036, 4, -1
105.753616, 24.883204, 64.281609, 36.225552, 0.000024, 4, -1
109.900818, 26.956804, 64.281609, 32.757587, -0.000021, 4, -1
41.472008, 33.177605, 64.281609, 180.927048, 0.000890, 4, -1
47.692806, 33.177605, 64.281609, 176.560303, 0.000584, 4, -1
116.121613, 33.177605, 64.281609, 38.736984, 0.000294, 4, -1
41.472008, 37.324806, 64.281609, 170.643707, 0.001351, 4, -1
47.692806, 37.324806, 64.281609, 162.618713, 0.000912, 4, -1
51.840008, 45.619205, 64.281609, 133.534821, 0.000344, 4, -1
58.060806, 49.766407, 64.281609, 89.703934, 0.000254, 4, -1
62.208008, 51.840008, 64.281609, 64.163063, 0.000215, 4, -1
68.428810, 55.987209, 64.281609, 203.240189, -0.000061, 4, -1
72.576012, 60.134407, 64.281609, 187.922150, 0.000080, 4, -1
80.870415, 64.281609, 64.281609, 246.757385, 0.000099, 4, -1
85.017609, 66.355209, 64.281609, 277.663818, -0.000019, 4, -1
89.164810, 68.428810, 64.281609, 301.617767, 0.000064, 4, -1
93.312012, 70.502411, 64.281609, 324.354065, 0.000299, 4, -1
101.606415, 74.649612, 64.281609, 349.682220, 0.001463, 4, -1
93.312012, 76.723213, 64.281609, 355.543213, 0.001225, 4, -1
16.588802, 78.796814, 64.281609, 228.070404, 0.000551, 4, -1
99.532814, 78.796814, 64.281609, 4.335206, 0.001537, 4, -1
93.312012, 85.017609, 64.281609, 47.636169, 0.000069, 4, -1
29.030403, 91.238411, 64.281609, 202.344162, 0.000416, 4, -1
87.091209, 91.238411, 64.281609, 85.591248, 0.000244, 4, -1
39.398407, 97.459213, 64.281609, 104.801910, 0.000192, 4, -1
78.796814, 97.459213, 64.281609, 85.094582, 0.000626, 4, -1
74.649612, 101.606415, 64.281609, 44.263058, 0.000504, 4, -1
49.766407, 103.680016, 64.281609, 88.614494, 0.000258, 4, -1
