#x, y, size, angle, response, octave, class_id
36.000000, 7.000000, 31.000000, 131.580551, 0.001233, 0, -1
50.000000, 7.000000, 31.000000, 51.415195, 0.000217, 0, -1
52.000000, 8.000000, 31.000000, 49.996067, 0.000726, 0, -1
32.000000, 10.000000, 31.000000, 169.211700, 0.001205, 0, -1
55.000000, 10.000000, 31.000000, 33.123482, 0.000619, 0, -1
29.000000, 14.000000, 31.000000, 234.023361, 0.001011, 0, -1
61.000000, 14.000000, 31.000000, 30.436457, 0.000800, 0, -1
64.000000, 16.000000, 31.000000, 31.715158, 0.000862, 0, -1
24.000000, 20.000000, 31.000000, 184.146469, 0.002932, 0, -1
67.000000, 20.000000, 31.000000, 45.643318, 0.000960, 0, -1
27.000000, 21.000000, 31.000000, 170.053650, 0.002249, 0, -1
24.000000, 22.000000, 31.000000, 168.464157, 0.002999, 0, -1
28.000000, 25.000000, 31.000000, 141.114380, 0.001376, 0, -1
31.000000, 27.000000, 31.000000, 106.509064, 0.001657, 0, -1
34.000000, 29.000000, 31.000000, 65.283531, 0.001485, 0, -1
38.000000, 31.000000, 31.000000, 286.833740, 0.000725, 0, -1
43.000000, 35.000000, 31.000000, 134.597809, 0.000909, 0, -1
50.000000, 39.000000, 31.000000, 260.713135, 0.000584, 0, -1
52.000000, 40.000000, 31.000000, 289.054718, 0.000993, 0, -1
54.000000, 41.000000, 31.000000, 317.975830, 0.000955, 0, -1
59.000000, 43.000000, 31.000000, 344.958191, 0.002465, 0, -1
9.000000, 46.000000, 31.000000, 218.038071, 0.001324, 0, -1
57.000000, 47.000000, 31.000000, 14.329762, 0.001326, 0, -1
13.000000, 48.000000, 31.000000, 226.715103, 0.001816, 0, -1
55.000000, 49.000000, 31.000000, 44.281742, 0.000713, 0, -1
16.000000, 52.000000, 31.000000, 203.797928, 0.001973, 0, -1
51.000000, 53.000000, 31.000000, 95.954498, 0.001279, 0, -1
22.000000, 56.000000, 31.000000, 148.801743, 0.001901, 0, -1
47.000000, 56.000000, 31.000000, 104.013748, 0.001689, 0, -1
27.000000, 59.000000, 31.000000, 73.167999, 0.000505, 0, -1
43.000000, 59.000000, 31.000000, 41.101818, 0.001713, 0, -1
29.000000, 60.000000, 31.000000, 69.096169, 0.000937, 0, -1
33.000000, 60.000000, 31.000000, 53.103016, 0.001412, 0, -1
39.000000, 61.000000, 31.000000, 50.596985, 0.001500, 0, -1
33.000000, 63.000000, 31.000000, 76.896294, 0.001515, 0, -1
54.000004, 9.600000, 37.200001, 50.528034, -0.000079, 1, -1
56.400002, 10.800000, 37.200001, 43.299629, -0.000060, 1, -1
58.800003, 12.000000, 37.200001, 26.205963, -0.000063, 1, -1
27.600000, 14.400001, 37.200001, 211.132507, 0.000033, 1, -1
61.200001, 14.400001, 37.200001, 34.605793, 0.000018, 1, -1
63.600002, 15.600000, 37.200001, 31.047306, -0.000025, 1, -1
24.000000, 19.200001, 37.200001, 181.098206, 0.000862, 1, -1
27.600000, 19.200001, 37.200001, 176.673828, 0.000558, 1, -1
67.200005, 19.200001, 37.200001, 38.419914, 0.000273, 1, -1
24.000000, 21.600000, 37.200001, 170.426559, 0.001312, 1, -1
